competition_id,competition_name,parent_id,type,gender,category_name,category_id
sr:competition:16274,"ITF Czech Republic 03A, Women Doubles",sr:competition:16270,doubles,women,"ITF Women",sr:category:213
sr:competition:16278,"ITF Turkey 28A, Women Singles",sr:competition:16276,singles,women,"ITF Women",sr:category:213
sr:competition:16280,"ITF Turkey 28A, Women Doubles",sr:competition:16276,doubles,women,"ITF Women",sr:category:213
sr:competition:16284,"ITF USA 22A, Women Singles",sr:competition:16282,singles,women,"ITF Women",sr:category:213
sr:competition:16286,"ITF USA 22A, Women Doubles",sr:competition:16282,doubles,women,"ITF Women",sr:category:213
sr:competition:16290,"ITF Canada 05A, Women Singles",sr:competition:16288,singles,women,"ITF Women",sr:category:213
sr:competition:16292,"ITF Canada 05A, Women Doubles",sr:competition:16288,doubles,women,"ITF Women",sr:category:213
sr:competition:16296,"ITF China 14A, Women Singles",sr:competition:16294,singles,women,"ITF Women",sr:category:213
sr:competition:16298,"ITF China 14A, Women Doubles",sr:competition:16294,doubles,women,"ITF Women",sr:category:213
sr:competition:16302,"ITF Germany 10A, Women Singles",sr:competition:16300,singles,women,"ITF Women",sr:category:213
sr:competition:16304,"ITF Germany 10A, Women Doubles",sr:competition:16300,doubles,women,"ITF Women",sr:category:213
sr:competition:16308,"ITF Italy 19A, Women Singles",sr:competition:16306,singles,women,"ITF Women",sr:category:213
sr:competition:16310,"ITF Italy 19A, Women Doubles",sr:competition:16306,doubles,women,"ITF Women",sr:category:213
sr:competition:16314,"ITF Belgium 01A, Women Singles",sr:competition:16312,singles,women,"ITF Women",sr:category:213
sr:competition:16316,"ITF Belgium 01A, Women Doubles",sr:competition:16312,doubles,women,"ITF Women",sr:category:213
sr:competition:16320,"ITF Egypt 21A, Women Singles",sr:competition:16318,singles,women,"ITF Women",sr:category:213
sr:competition:16322,"ITF Egypt 21A, Women Doubles",sr:competition:16318,doubles,women,"ITF Women",sr:category:213
sr:competition:16326,"ITF Romania 05A, Women Singles",sr:competition:16324,singles,women,"ITF Women",sr:category:213
sr:competition:16328,"ITF Romania 05A, Women Doubles",sr:competition:16324,doubles,women,"ITF Women",sr:category:213
sr:competition:16332,"ITF Spain 11A, Women Singles",sr:competition:16330,singles,women,"ITF Women",sr:category:213
sr:competition:16334,"ITF Spain 11A, Women Doubles",sr:competition:16330,doubles,women,"ITF Women",sr:category:213
sr:competition:16338,"ITF Thailand 05A, Women Singles",sr:competition:16336,singles,women,"ITF Women",sr:category:213
sr:competition:16340,"ITF Thailand 05A, Women Doubles",sr:competition:16336,doubles,women,"ITF Women",sr:category:213
sr:competition:16566,"ITF Czechia 04A, Women Singles",sr:competition:16536,singles,women,"ITF Women",sr:category:213
sr:competition:16568,"ITF Czechia 04A, Women Doubles",sr:competition:16536,doubles,women,"ITF Women",sr:category:213
sr:competition:16570,"ITF Canada 06A, Women Singles",sr:competition:16538,singles,women,"ITF Women",sr:category:213
sr:competition:16572,"ITF Canada 06A, Women Doubles",sr:competition:16538,doubles,women,"ITF Women",sr:category:213
sr:competition:16574,"ITF USA 26A, Women Singles",sr:competition:16540,singles,women,"ITF Women",sr:category:213
sr:competition:16576,"ITF USA 26A, Women Doubles",sr:competition:16540,doubles,women,"ITF Women",sr:category:213
sr:competition:16578,"ITF Germany 11A, Women Singles",sr:competition:16542,singles,women,"ITF Women",sr:category:213
sr:competition:16580,"ITF Germany 11A, Women Doubles",sr:competition:16542,doubles,women,"ITF Women",sr:category:213
sr:competition:16582,"ITF Thailand 06A, Women Singles",sr:competition:16544,singles,women,"ITF Women",sr:category:213
sr:competition:16584,"ITF Thailand 06A, Women Doubles",sr:competition:16544,doubles,women,"ITF Women",sr:category:213
sr:competition:16586,"ITF Brazil 07A, Women Singles",sr:competition:16546,singles,women,"ITF Women",sr:category:213
sr:competition:16588,"ITF Brazil 07A, Women Doubles",sr:competition:16546,doubles,women,"ITF Women",sr:category:213
sr:competition:16590,"ITF Egypt 22A, Women Singles",sr:competition:16548,singles,women,"ITF Women",sr:category:213
sr:competition:16592,"ITF Egypt 22A, Women Doubles",sr:competition:16548,doubles,women,"ITF Women",sr:category:213
sr:competition:16594,"ITF Estonia 01A, Women Singles",sr:competition:16550,singles,women,"ITF Women",sr:category:213
sr:competition:16596,"ITF Estonia 01A, Women Doubles",sr:competition:16550,doubles,women,"ITF Women",sr:category:213
sr:competition:16598,"ITF Finland 01A, Women Singles",sr:competition:16552,singles,women,"ITF Women",sr:category:213
sr:competition:16600,"ITF Finland 01A, Women Doubles",sr:competition:16552,doubles,women,"ITF Women",sr:category:213
